Біграми з пробілами та без перетинів:
Біграма: *юг*, її частота: 0.000020;
Біграма: *жб*, її частота: 0.000021;
Біграма: *юк*, її частота: 0.000047;
Біграма: *хг*, її частота: 0.000004;
Біграма: *юп*, її частота: 0.000003;
Біграма: *юц*, її частота: 0.000007;
Біграма: *яп*, її частота: 0.000074;
Біграма: *бз*, її частота: 0.000009;
Біграма: *пч*, її частота: 0.000011;
Біграма: *жв*, її частота: 0.000004;
Біграма: *шп*, її частота: 0.000009;
Біграма: *бэ*, її частота: 0.000006;
Біграма: *хэ*, її частота: 0.000039;
Біграма: *юв*, її частота: 0.000005;
Біграма: *оа*, її частота: 0.000019;
Біграма: *эз*, її частота: 0.000002;
Біграма: *вщ*, її частота: 0.000004;
Біграма: *фп*, її частота: 0.000004;
Біграма: *тф*, її частота: 0.000025;
Біграма: *чё*, її частота: 0.000006;
Біграма: *ём*, її частота: 0.000001;
Біграма: *ыц*, її частота: 0.000004;
Біграма: *юи*, її частота: 0.000023;
Біграма: *юа*, її частота: 0.000004;
Біграма: *ьр*, її частота: 0.000002;
Біграма: *яш*, її частота: 0.000013;
Біграма: *гв*, її частота: 0.000007;
Біграма: *йи*, її частота: 0.000003;
Біграма: *эх*, її частота: 0.000005;
Біграма: *хп*, її частота: 0.000003;
Біграма: *жл*, її частота: 0.000013;
Біграма: *сз*, її частота: 0.000004;
Біграма: *йп*, її частота: 0.000005;
Біграма: *хх*, її частота: 0.000001;
Біграма: *ё *, її частота: 0.000006;
Біграма: *фь*, її частота: 0.000005;
Біграма: *мв*, її частота: 0.000004;
Біграма: *хч*, її частота: 0.000003;
Біграма: *юэ*, її частота: 0.000007;
Біграма: *йе*, її частота: 0.000014;
Біграма: *нп*, її частота: 0.000003;
Біграма: *шр*, її частота: 0.000013;
Біграма: *юш*, її частота: 0.000009;
Біграма: *бш*, її частота: 0.000007;
Біграма: *йй*, її частота: 0.000002;
Біграма: *мц*, її частота: 0.000016;
Біграма: *зъ*, її частота: 0.000008;
Біграма: *лр*, її частота: 0.000004;
Біграма: *кд*, її частота: 0.000016;
Біграма: *км*, її частота: 0.000025;
Біграма: *лё*, її частота: 0.000001;
Біграма: *ён*, її частота: 0.000001;
Біграма: *хъ*, її частота: 0.000004;
Біграма: *йф*, її частота: 0.000012;
Біграма: *цн*, її частота: 0.000003;
Біграма: *цг*, її частота: 0.000002;
Біграма: *йэ*, її частота: 0.000013;
Біграма: *фн*, її частота: 0.000004;
Біграма: *кг*, її частота: 0.000003;
Біграма: *гб*, її частота: 0.000007;
Біграма: *цр*, її частота: 0.000007;
Біграма: *вэ*, її частота: 0.000004;
Біграма: *кю*, її частота: 0.000006;
Біграма: *хд*, її частота: 0.000003;
Біграма: *эв*, її частота: 0.000011;
Біграма: *щё*, її частота: 0.000001;
Біграма: *мш*, її частота: 0.000004;
Біграма: *нш*, її частота: 0.000085;
Біграма: *э *, її частота: 0.000009;
Біграма: *бг*, її частота: 0.000002;
Біграма: *эб*, її частота: 0.000004;
Біграма: *нх*, її частота: 0.000042;
Біграма: *фм*, її частота: 0.000001;
Біграма: *ыа*, її частота: 0.000001;
Біграма: *щр*, її частота: 0.000002;
Біграма: *жэ*, її частота: 0.000001;
Біграма: *хь*, її частота: 0.000008;
Біграма: *шэ*, її частота: 0.000001;
Біграма: *жг*, її частота: 0.000006;
Біграма: *юе*, її частота: 0.000001;
Біграма: *цд*, її частота: 0.000002;
Біграма: *дз*, її частота: 0.000005;
Біграма: *ээ*, її частота: 0.000002;
Біграма: *пб*, її частота: 0.000005;
Біграма: *пв*, її частота: 0.000002;
Біграма: *мю*, її частота: 0.000003;
Біграма: *пм*, її частота: 0.000001;
Біграма: *ьу*, її частота: 0.000001;
Біграма: *шч*, її частота: 0.000001;
Біграма: * й*, її частота: 0.000013;
Біграма: *кь*, її частота: 0.000004;
Біграма: *шц*, її частота: 0.000004;
Біграма: *тъ*, її частота: 0.000013;
Біграма: *хк*, її частота: 0.000004;
Біграма: *эя*, її частота: 0.000003;
Біграма: *въ*, її частота: 0.000005;
Біграма: *чв*, її частота: 0.000003;
Біграма: *кщ*, її частота: 0.000004;
Біграма: *жт*, її частота: 0.000001;
Біграма: *жр*, її частота: 0.000003;
Біграма: *ыу*, її частота: 0.000007;
Біграма: *бц*, її частота: 0.000001;
Біграма: *эш*, її частота: 0.000003;
Біграма: *зс*, її частота: 0.000003;
Біграма: *тж*, її частота: 0.000001;
Біграма: *уц*, її частота: 0.000002;
Біграма: *йг*, її частота: 0.000002;
Біграма: *бф*, її частота: 0.000001;
Біграма: *нэ*, її частота: 0.000004;
Біграма: *эг*, її частота: 0.000007;
Біграма: *гэ*, її частота: 0.000007;
Біграма: *лх*, її частота: 0.000003;
Біграма: *кх*, її частота: 0.000001;
Біграма: *пэ*, її частота: 0.000003;
Біграма: *гш*, її частота: 0.000002;
Біграма: *що*, її частота: 0.000004;
Біграма: *цш*, її частота: 0.000001;
Біграма: *цт*, її частота: 0.000012;
Біграма: *эе*, її частота: 0.000001;
Біграма: *вю*, її частота: 0.000001;
Біграма: *зш*, її частота: 0.000003;
Біграма: *гм*, її частота: 0.000004;
Біграма: *гп*, її частота: 0.000002;
Біграма: *хц*, її частота: 0.000002;
Біграма: *цп*, її частота: 0.000004;
Біграма: *тз*, її частота: 0.000001;
Біграма: *хб*, її частота: 0.000001;
Біграма: *ьэ*, її частота: 0.000001;
Біграма: *мх*, її частота: 0.000002;
Біграма: *юу*, її частота: 0.000001;
Біграма: *гф*, її частота: 0.000001;
Біграма: *кп*, її частота: 0.000002;
Біграма: *кч*, її частота: 0.000001;
Біграма: *жз*, її частота: 0.000001;
Біграма: *эа*, її частота: 0.000002;
Біграма: *нм*, її частота: 0.000001;
Біграма: *йу*, її частота: 0.000001;
Біграма: *шш*, її частота: 0.000002;
Біграма: *фг*, її частота: 0.000001;
Біграма: *бч*, її частота: 0.000001;
